Item,Binomial (Alphabetical),Sentence (alphabetical),Sentence (nonalphabetical),Prime (alphabetical),Prime (nonalphabetical),Prime (unrelated),Questions
237,closets and drawers,Ben needed a lot of closets and drawers to store all of his clothes.,Ben needed a lot of drawers and closets to store all of his clothes.,,,,
238,clothes and dishes,Molly needed to wash her clothes and dishes before leaving for her trip.,Molly needed to wash her dishes and clothes before leaving for her trip.,,,,
239,coat and hat,"Once she stepped through the door, she designated a spot for her coat and hat to be safely put away.","Once she stepped through the door, she designated a spot for her hat and coat to be safely put away.",,,,
240,cod and salmon,He made sure the chef knew that cod and salmon are his sister's favorite types of fish.,He made sure the chef knew that salmon and cod are his sister's favorite types of fish.,,,,
241,coffee and sandwiches,The company had coffee and sandwiches catered for their employees.,The company had sandwiches and coffee catered for their employees.,,,,
242,coffee and toast,Every morning Karen has coffee and toast for breakfast before school.,Every morning Karen has toast and coffee for breakfast before school.,,,,
243,college and school,Matt said that college and school are not worth his time.,Matt said that school and college are not worth his time.,,,,
244,college and university,Carlos talked about college and university with his school counselor.,Carlos talked about university and college with his school counselor.,,,,
245,color and imagery,She liked all of the color and imagery the artist used in their art.,She liked all of the imagery and color the artist used in their art.,,,,
246,color and light,Rob used a lot of color and light to make his photographs pop.,Rob used a lot of light and color to make his photographs pop.,,,,
247,color and scent,Both the color and scent of the flowers made Terry happy.,Both the scent and color of the flowers made Terry happy.,,,,
248,color and texture,Sarah was known for the color and texture she used in her paintings.,Sarah was known for the texture and color she used in her paintings.,,,,
249,colors and forms,They read a whole chapter on colors and forms in her art class.,They read a whole chapter on forms and colors in her art class.,,,,
250,comedy and humor,Ricky was confused about the difference between comedy and humor until he looked it up online.,Ricky was confused about the difference between humor and comedy until he looked it up online.,,,,
251,comedy and satire,Olivia enjoyed comedy and satire and made sure that everyone knew.,Olivia enjoyed satire and comedy and made sure that everyone knew.,,,,
252,comfort and companionship,He experienced comfort and companionship whenever he visited his Grandma.,He experienced companionship and comfort whenever he visited his Grandma.,,,,
253,comfort and ease,"Her parents liked the comfort and ease of flying, so they flew to their friend's wedding.","Her parents liked the ease and comfort of flying, so they flew to their friend's wedding.",,,,
254,comings and goings,The school newspaper reported on the comings and goings of the student body.,The school newspaper reported on the goings and comings of the student body.,,,,
255,command and control,The eldest sibling wanted to command and control all of their younger siblings.,The eldest sibling wanted to control and command all of their younger siblings.,,,,
256,commands and statements,The employees didn't listen to the commands and statements of the rude boss.,The employees didn't listen to the statements and commands of the rude boss.,,,,
257,commercialism and materialism,All of the commercialism and materialism in society makes Evan want to live off the grid.,All of the materialism and commercialism in society makes Evan want to live off the grid.,,,,
258,completeness and unity,I often feel a sense of completeness and unity after completing a tedious group project.,I often feel a sense of unity and completeness after completing a tedious group project.,,,,
259,complexity and obscurity,The student found that the complexity and obscurity of her research topic made the project difficult.,The student found that the obscurity and complexity of her research topic made the project difficult.,,,,
260,comprehension and control,There was a lack of comprehension and control that made Stephanie feel uneasy.,There was a lack of control and comprehension that made Stephanie feel uneasy.,,,,
261,Concord and Lexington,He used to live in both Concord and Lexington when he was a teenager.,He used to live in both Lexington and Concord when he was a teenager.,,,,
262,concrete and steel,The company got a new shipment of concrete and steel for an upcoming project.,The company got a new shipment of steel and concrete for an upcoming project.,,,,
263,conduct and manners,"At a job interview, your conduct and manners can matter as much as your qualifications.","At a job interview, your manners and conduct can matter as much as your qualifications.",,,,
264,confusion and congestion,The traffic caused confusion and congestion for the drivers on the busy highway.,The traffic caused congestion and confusion for the drivers on the busy highway.,,,,
265,confusion and fear,They felt confusion and fear about what they would do after graduating.,They felt fear and confusion about what they would do after graduating.,,,,
266,confusion and turmoil,Hannah felt confusion and turmoil after her mom gave her some unfortunate news.,Hannah felt turmoil and confusion after her mom gave her some unfortunate news.,,,,
267,confusions and contradictions,All of the confusions and contradictions did not make Amy feel confident about the new rules.,All of the contradictions and confusions did not make Amy feel confident about the new rules.,,,,
268,conscience and religion,Bree is reading a book about the relationship between conscience and religion in her book club.,Bree is reading a book about the relationship between religion and conscience in her book club.,,,,
269,contemporary and friend,I learned that my professor was a contemporary and friend of a famous poet.,I learned that my professor was a friend and contemporary of a famous poet.,,,,
270,contraction and dilation,Anna was confused about the difference between contraction and dilation so she talked to her doctor about it.,Anna was confused about the difference between dilation and contraction so she talked to her doctor about it.,,,,
271,control and growth,The lack of control and growth that the position offered made Jerry want to find a new job.,The lack of growth and control that the position offered made Jerry want to find a new job.,,,,
272,control and intelligence,Jason wanted to be known for his control and intelligence instead of being known for his temper.,Jason wanted to be known for his intelligence and control instead of being known for his temper.,,,,
273,coroners and senators,He wondered why there were so many coroners and senators at the scientific conference.,He wondered why there were so many senators and coroners at the scientific conference.,,,,
274,coroners and senators,"His uncles were all coroners and senators in their day jobs, but they all wanted to get into the movie industry.","His uncles were all senators and coroners in their day jobs, but they all wanted to get into the movie industry.",,,,
275,coroners and senators,The media hounded various coroners and senators about the case of the murdered politician.,The media hounded various senators and coroners about the case of the murdered politician.,,,,
276,corruption and crime,All of the corruption and crime in the city made Tony want to move.,All of the crime and corruption in the city made Tony want to move.,,,,
277,cost and upkeep,They didn't think the house was worth the cost and upkeep it would take to keep it.,They didn't think the house was worth the upkeep and cost it would take to keep it.,,,,
278,costumes and masks,Tammy had to buy costumes and masks for all of the Halloween parties she was going to attend.,Tammy had to buy masks and costumes for all of the Halloween parties she was going to attend.,,,,
279,cotton and tobacco,The company has sold cotton and tobacco for almost twenty years.,The company has sold tobacco and cotton for almost twenty years.,,,,
280,council and governor,She wanted to meet with both the council and governor to discuss some ideas she had.,She wanted to meet with both the governor and council to discuss some ideas she had.,,,,
281,counties and towns,Fred drove through many counties and towns to move to his new house.,Fred drove through many towns and counties to move to his new house.,,,,
282,county and village,The nearby county and village faced constant threats from their neighbhors.,The nearby village and county faced constant threats from their neighbhors.,,,,
283,courage and hope,It took courage and hope to overcome what she had been through.,It took hope and courage to overcome what she had been through.,,,,
284,cousins and uncles,Olivia said her cousins and uncles are her favorite family members.,Olivia said her uncles and cousins are her favorite family members.,,,,
285,crannies and nooks,He made sure to dust all of the crannies and nooks throughout the old house.,He made sure to dust all of the nooks and crannies throughout the old house.,,,,
286,cream and peaches,We had cream and peaches for dessert at the diner down the street.,We had peaches and cream for dessert at the diner down the street.,,,,
287,crime and poverty,The study on the link between crime and poverty was published in the local newspaper.,The study on the link between poverty and crime was published in the local newspaper.,,,,
288,crime and punishment,He wrote a paper about the different views of crime and punishment around the world.,He wrote a paper about the different views of punishment and crime around the world.,,,,
289,crime and punishment,Peter studied the laws concerning crime and punishment in Ancient Greece and Rome.,Peter studied the laws concerning punishment and crime in Ancient Greece and Rome.,,,,
290,crime and punishment,Peter was ashamed of the crime and punishment laws in his state.,Peter was ashamed of the punishment and crime laws in his state.,,,,
291,crime and punishment,The jury needed to consider the crime and punishment before coming to a final decision.,The jury needed to consider the punishment and crime before coming to a final decision.,,,,
292,crime and violence,The frequent crime and violence in the neighborhood had people worried.,The frequent violence and crime in the neighborhood had people worried.,,,,
293,crises and problems,All of the crises and problems she had to overcome made her stronger.,All of the problems and crises she had to overcome made her stronger.,,,,
294,crops and livestock,All of the crops and livestock needed a lot of water to survive.,All of the livestock and crops needed a lot of water to survive.,,,,
295,currant and pomegranate,"Dave was an unusual child, as his favorite fruits were currant and pomegranate.","Dave was an unusual child, as his favorite fruits were pomegranate and currant.",,,,
296,currant and pomegranate,The chef decided to try some dishes using currant and pomegranate to add variety to the menu.,The chef decided to try some dishes using pomegranate and currant to add variety to the menu.,,,,
297,currant and pomegranate,The drink flavored with currant and pomegranate was delicious according to Kim.,The drink flavored with pomegranate and currant was delicious according to Kim.,,,,
298,cuts and wounds,Max had many cuts and wounds after falling off his bike.,Max had many wounds and cuts after falling off his bike.,,,,
299,cysts and tumors,Paul had an appointment with his doctor to check for any cysts and tumors that he might have.,Paul had an appointment with his doctor to check for any tumors and cysts that he might have.,,,,
300,dairy and poultry,You will often find dairy and poultry close to each other in the refrigerated aisle of the grocery store.,You will often find poultry and dairy close to each other in the refrigerated aisle of the grocery store.,,,,
301,danger and threat,Riley thought that the danger and threat of sharks were too high to go surfing.,Riley thought that the threat and danger of sharks were too high to go surfing.,,,,
302,dark and light,Johanna thought the contrast between dark and light colors in the painting made it interesting to look at.,Johanna thought the contrast between light and dark colors in the painting made it interesting to look at.,,,,
303,dates and events,Katrina had many dates and events to attend because she was very popular.,Katrina had many events and dates to attend because she was very popular.,,,,
304,daughter and son,"With the holidays approaching, the daughter and son needed to shop for presents for their parents.","With the holidays approaching, the son and daughter needed to shop for presents for their parents.",,,,
305,day and night,It is harder to tell the difference between day and night if you can't see.,It is harder to tell the difference between night and day if you can't see.,,,,
306,days and nights,Finn spent many days and nights working on writing his novel.,Finn spent many nights and days working on writing his novel.,,,,
307,days and years,It had been days and years since Molly had seen her cousins.,It had been years and days since Molly had seen her cousins.,,,,
308,death and life,It is hard to tell the difference between death and life when you are in purgatory.,It is hard to tell the difference between life and death when you are in purgatory.,,,,
309,debate and discussion,"During class, there was debate and discussion surrounding the controversial current event.","During class, there was discussion and debate surrounding the controversial current event.",,,,
310,december and may,He is so busy that december and may are the only months he can see his family.,He is so busy that may and december are the only months he can see his family.,,,,
311,demand and supply,The economist became famous for studying the way demand and supply affect the steel industry.,The economist became famous for studying the way supply and demand affect the steel industry.,,,,
312,demand and supply,The weaver tried to keep up with demand and supply when refugees and immigrants flooded the small town.,The weaver tried to keep up with supply and demand when refugees and immigrants flooded the small town.,,,,
313,demand and supply,There is an imbalance of demand and supply for books in the digital age.,There is an imbalance of supply and demand for books in the digital age.,,,,
314,democracy and liberty,Jade's brother talked about democracy and liberty while they ate dinner on the fourth of July.,Jade's brother talked about liberty and democracy while they ate dinner on the fourth of July.,,,,
315,dentist and doctor,He had dentist and doctor appointments back to back on Thursday.,He had doctor and dentist appointments back to back on Thursday.,,,,
316,depth and force,The newspaper reported on the depth and force of the earthquake that had surprised the city the night before.,The newspaper reported on the force and depth of the earthquake that had surprised the city the night before.,,,,
317,desolation and misery,Robert felt desolation and misery so he started going to therapy.,Robert felt misery and desolation so he started going to therapy.,,,,
318,despair and futility,Clara felt despair and futility after being fired from her new job.,Clara felt futility and despair after being fired from her new job.,,,,
319,despair and rage,Annie felt a lot of despair and rage so she wanted to talk with a therapist.,Annie felt a lot of rage and despair so she wanted to talk with a therapist.,,,,
320,detection and removal,Victoria went to her dermatologist for detection and removal of her potentially cancerous moles.,Victoria went to her dermatologist for removal and detection of her potentially cancerous moles.,,,,
321,detective and police,Usually the town's detective and police work together to deal with criminals.,Usually the town's police and detective work together to deal with criminals.,,,,
322,determination and faith,It took determination and faith to get where she is today.,It took faith and determination to get where she is today.,,,,
323,determined and forgettable,I talked with my boss about whether to hire the determined and forgettable job candidate that we interviewed.,I talked with my boss about whether to hire the forgettable and determined job candidate that we interviewed.,,,,
324,determined and forgettable,The deeds of the determined and forgettable adventurer went largely uncelebrated.,The deeds of the forgettable and determined adventurer went largely uncelebrated.,,,,
325,determined and forgettable,The student who was both determined and forgettable ended up doing very well in the class.,The student who was both forgettable and determined ended up doing very well in the class.,,,,
326,development and research,Emily spent a few years in development and research but eventually decided to go back to academia.,Emily spent a few years in research and development but eventually decided to go back to academia.,,,,
327,development and research,Many years of development and research went into the company's new product.,Many years of research and development went into the company's new product.,,,,
328,development and research,Mark finds working on development and research for the marketing company to be a very satisfying career.,Mark finds working on research and development for the marketing company to be a very satisfying career.,,,,
329,development and research,"The scientist had a lot of development and research to do, because he had been sick for a long time.","The scientist had a lot of research and development to do, because he had been sick for a long time.",,,,
330,devotion and effort,The intern was praised for her devotion and effort after the big event went off without a hitch.,The intern was praised for her effort and devotion after the big event went off without a hitch.,,,,
331,diagnosis and treatment,Marissa found that her diagnosis and treatment at the hospital were completely different from what she anticipated.,Marissa found that her treatment and diagnosis at the hospital were completely different from what she anticipated.,,,,
332,diagrams and sketches,The architect had many diagrams and sketches to show her client.,The architect had many sketches and diagrams to show her client.,,,,
333,diamonds and rubies,The pirates followed the treasure map to find that diamonds and rubies were hidden in the treasure chest.,The pirates followed the treasure map to find that rubies and diamonds were hidden in the treasure chest.,,,,
334,dirt and sweat,Mike needed to wash the dirt and sweat out of his soccer uniform.,Mike needed to wash the sweat and dirt out of his soccer uniform.,,,,
335,discontent and tearfulness,Julie suffered from discontent and tearfulness after hearing that she was laid off from her job.,Julie suffered from tearfulness and discontent after hearing that she was laid off from her job.,,,,
336,discontent and tearfulness,The athlete managed to keep training through the discontent and tearfulness of his early years.,The athlete managed to keep training through the tearfulness and discontent of his early years.,,,,
337,discontent and tearfulness,The doctor said that discontent and tearfulness are signs of depression.,The doctor said that tearfulness and discontent are signs of depression.,,,,
338,discretion and moderation,"There was an absence of discretion and moderation in the decision, which upset many people.","There was an absence of moderation and discretion in the decision, which upset many people.",,,,
339,discussion and thought,A lot of discussion and thought went into making the decision to buy this house.,A lot of thought and discussion went into making the decision to buy this house.,,,,
340,disdain and indifference,"Nathan felt disdain and indifference towards Mark, so he avoided him.","Nathan felt indifference and disdain towards Mark, so he avoided him.",,,,
341,distress and pain,The couple's divorce caused a lot of distress and pain for the whole family.,The couple's divorce caused a lot of pain and distress for the whole family.,,,,
342,doctors and fathers,There were many doctors and fathers in the same room.,There were many fathers and doctors in the same room.,,,,
343,dogs and men,Her grandma joked that dogs and men had a lot in common.,Her grandma joked that men and dogs had a lot in common.,,,,
344,domination and influence,The player's domination and influence made them the obvious choice for captain of the team.,The player's influence and domination made them the obvious choice for captain of the team.,,,,
345,doorways and windows,Bill wanted to fix the doorways and windows before moving into the new home.,Bill wanted to fix the windows and doorways before moving into the new home.,,,,
346,doubts and fears,"She wanted to be a pop star, but her doubts and fears got in the way of her dream.","She wanted to be a pop star, but her fears and doubts got in the way of her dream.",,,,
347,doubts and suspicions,The detective had doubts and suspicions about the suspect's alibi.,The detective had suspicions and doubts about the suspect's alibi.,,,,
348,dreams and plans,She had dreams and plans to become a successful scientist.,She had plans and dreams to become a successful scientist.,,,,
349,drink and food,"Although some drink and food were provided at the reception, there was not enough to go around.","Although some food and drink were provided at the reception, there was not enough to go around.",,,,
350,drink and food,Many students were dismayed after drink and food were banned from classrooms.,Many students were dismayed after food and drink were banned from classrooms.,,,,
351,ducks and peanuts,He was excited to go look at ducks and peanuts all day.,He was excited to go look at peanuts and ducks all day.,,,,
352,ducks and peanuts,She couldn't believe how many ducks and peanuts were at the pond.,She couldn't believe how many peanuts and ducks were at the pond.,,,,
353,ducks and peanuts,They saw many ducks and peanuts on their trip to the zoo.,They saw many peanuts and ducks on their trip to the zoo.,,,,
354,ears and eyes,"Cleo said that her ears and eyes were bothering her, so she stayed home from work.","Cleo said that her eyes and ears were bothering her, so she stayed home from work.",,,,
355,ears and hair,Bill washed his ears and hair before going to bed.,Bill washed his hair and ears before going to bed.,,,,
356,earth and sky,Talking about the earth and sky was one of Randy's favorite things to do.,Talking about the sky and earth was one of Randy's favorite things to do.,,,,
357,east and west,Diane wrote a book about her travels east and west around the globe for a year.,Diane wrote a book about her travels west and east around the globe for a year.,,,,
358,east and west,Lena had lived in the east and west and loved both.,Lena had lived in the west and east and loved both.,,,,
359,east and west,The train tracks running east and west fell into disrepair as they became obsolete.,The train tracks running west and east fell into disrepair as they became obsolete.,,,,
360,economist and historian,He was surprised that both the economist and historian are named Jane Doe.,He was surprised that both the historian and economist are named Jane Doe.,,,,
361,editing and publishing,The company did the editing and publishing for many well-known books.,The company did the publishing and editing for many well-known books.,,,,
362,editor and publisher,"In order to finalize all the details, the editor and publisher wanted to have a meeting with the author of the book.","In order to finalize all the details, the publisher and editor wanted to have a meeting with the author of the book.",,,,
363,education and industrialization,Tania read about the connection between education and industrialization in a chapter of her textbook.,Tania read about the connection between industrialization and education in a chapter of her textbook.,,,,
364,education and skill,They had the education and skill to be a great professor.,They had the skill and education to be a great professor.,,,,
365,effort and resources,It would take a lot of effort and resources to put on this fundraiser.,It would take a lot of resources and effort to put on this fundraiser.,,,,
366,eggs and ham,All she wanted to eat was eggs and ham but she didn't have either item in her refrigerator.,All she wanted to eat was ham and eggs but she didn't have either item in her refrigerator.,,,,
367,Egypt and Europe,He wanted to visit Egypt and Europe once he had the time to travel.,He wanted to visit Europe and Egypt once he had the time to travel.,,,,
368,elbows and knees,I hurt my elbows and knees when I fell off my longboard.,I hurt my knees and elbows when I fell off my longboard.,,,,
369,elegance and purity,Her mom thought the dress exuded elegance and purity but Lauren did not agree.,Her mom thought the dress exuded purity and elegance but Lauren did not agree.,,,,
370,eloquence and force,He admires his sister for the eloquence and force she has when dealing with difficult situations.,He admires his sister for the force and eloquence she has when dealing with difficult situations.,,,,
371,emotion and meaning,The singer put a lot of emotion and meaning into all of the songs they wrote.,The singer put a lot of meaning and emotion into all of the songs they wrote.,,,,
372,ends and odds,"The new restaurant was almost ready for the grand opening, but had a few ends and odds to deal with before the big night.","The new restaurant was almost ready for the grand opening, but had a few odds and ends to deal with before the big night.",,,,
373,energy and money,Alice said that all of the energy and money that her car needed made her want to sell it.,Alice said that all of the money and energy that her car needed made her want to sell it.,,,,
374,engineers and scientists,There were a good number of engineers and scientists present at the conference.,There were a good number of scientists and engineers present at the conference.,,,,
375,English and German,The school held classes in both English and German so the students could be bilingual.,The school held classes in both German and English so the students could be bilingual.,,,,
376,enthusiasm and warmth,Kristin appreciated Jack's enthusiasm and warmth so she spent a lot of time with him.,Kristin appreciated Jack's warmth and enthusiasm so she spent a lot of time with him.,,,,
377,equipment and personnel,The company had an appropriate amount of equipment and personnel in order to make sure everyone at the event would be safe.,The company had an appropriate amount of personnel and equipment in order to make sure everyone at the event would be safe.,,,,
378,error and trial,Hal solved the math problem by error and trial because he couldn't remember the shortcut.,Hal solved the math problem by trial and error because he couldn't remember the shortcut.,,,,
379,error and trial,Sometimes it feels like error and trial is the only way to learn.,Sometimes it feels like trial and error is the only way to learn.,,,,
380,error and trial,"While all can agree that error and trial is effective, there are often better ways to solve problems.","While all can agree that trial and error is effective, there are often better ways to solve problems.",,,,
381,error and trial,They dealt with a lot of error and trial before having a final product.,They dealt with a lot of trial and error before having a final product.,,,,
382,errors and omissions,Rebecca went over the errors and omissions that occurred in the paper.,Rebecca went over the omissions and errors that occurred in the paper.,,,,
383,evening and morning,Victor plans on spending tomorrow evening and morning reading the new book he bought.,Victor plans on spending tomorrow morning and evening reading the new book he bought.,,,,
384,evenings and sundays,Carlos spends his evenings and sundays doing his favorite activities.,Carlos spends his sundays and evenings doing his favorite activities.,,,,
385,everybody and everything,Noah loved everybody and everything in his college town.,Noah loved everything and everybody in his college town.,,,,
386,excitement and fatigue,He felt both excitement and fatigue when spending the day at an amusement park.,He felt both fatigue and excitement when spending the day at an amusement park.,,,,
387,expense and time,He said that the expense and time of maintaining the property was too much.,He said that the time and expense of maintaining the property was too much.,,,,
388,experiences and reactions,Randy said that her experiences and reactions made her quite the character.,Randy said that her reactions and experiences made her quite the character.,,,,
389,eyes and face,The instructions in the lab ask you cover your eyes and face when you operate any machinery.,The instructions in the lab ask you cover your face and eyes when you operate any machinery.,,,,
390,eyes and hair,"In order to make your eyes and hair stand out, you should choose an appropriate outfit.","In order to make your hair and eyes stand out, you should choose an appropriate outfit.",,,,
391,face and figure,The model's face and figure was highlighted in the magazine spread.,The model's figure and face was highlighted in the magazine spread.,,,,
392,factories and industries,Tristen worked in a variety of factories and industries before he was able to retire.,Tristen worked in a variety of industries and factories before he was able to retire.,,,,
393,facts and figures,Lauren needed to get her facts and figures straight before her business plan presentation.,Lauren needed to get her figures and facts straight before her business plan presentation.,,,,
394,facts and techniques,She wanted to discuss different facts and techniques with her new boss.,She wanted to discuss different techniques and facts with her new boss.,,,,
395,fairness and moderation,Gino thought that fairness and moderation were concepts that should go together.,Gino thought that moderation and fairness were concepts that should go together.,,,,
396,faith and life,He wanted to write a book about faith and life using many personal stories.,He wanted to write a book about life and faith using many personal stories.,,,,
397,faith and love,He wrote songs about faith and love that he hoped to record for his next album.,He wrote songs about love and faith that he hoped to record for his next album.,,,,
398,fall and rise,I've gotten particularly ill due to the fall and rise of the waves out at sea.,I've gotten particularly ill due to the rise and fall of the waves out at sea.,,,,
399,fall and winter,In the months during fall and winter students tend to feel a bit sadder due to the cold and gloomy weather.,In the months during winter and fall students tend to feel a bit sadder due to the cold and gloomy weather.,,,,
400,family and neighborhood,She loved her family and neighborhood so she was sad about leaving for college.,She loved her neighborhood and family so she was sad about leaving for college.,,,,
401,farms and fields,Ron loved spending time at farms and fields because he loved being in nature.,Ron loved spending time at fields and farms because he loved being in nature.,,,,
402,father and mother,"Because Stephanie was grounded, her father and mother would not permit her to go out with her friends.","Because Stephanie was grounded, her mother and father would not permit her to go out with her friends.",,,,
403,father and son,Eric enjoys going to the movies with his father and son so much that he decided to make it a weekly tradition for them.,Eric enjoys going to the movies with his son and father so much that he decided to make it a weekly tradition for them.,,,,
404,father and uncle,She took her father and uncle out to dinner to celebrate their birthdays.,She took her uncle and father out to dinner to celebrate their birthdays.,,,,
405,fathers and mothers,The community center had summer camps for fathers and mothers to send their kids to while they worked.,The community center had summer camps for mothers and fathers to send their kids to while they worked.,,,,
406,fauna and flora,An extensive list of the Amazon's fauna and flora would span thousands of pages.,An extensive list of the Amazon's flora and fauna would span thousands of pages.,,,,
407,fauna and flora,It is important to study both the fauna and flora in a region in order to fully understand the ecosystem.,It is important to study both the flora and fauna in a region in order to fully understand the ecosystem.,,,,
408,fauna and flora,She had a hobby of studying fauna and flora in her spare time.,She had a hobby of studying flora and fauna in her spare time.,,,,
409,fear and relief,Mary felt both fear and relief about graduating from high school.,Mary felt both relief and fear about graduating from high school.,,,,
410,feelings and thoughts,"Whenever Pat was frustrated, her feelings and thoughts got muddled and she couldn't make any decisions.","Whenever Pat was frustrated, her thoughts and feelings got muddled and she couldn't make any decisions.",,,,
411,feet and hands,The child's feet and hands were numb from playing in the snow.,The child's hands and feet were numb from playing in the snow.,,,,
412,feet and heads,Amy thinks that the feet and heads of the kittens are so cute.,Amy thinks that the heads and feet of the kittens are so cute.,,,,
413,feet and legs,The soccer player injured their feet and legs during a very intense game.,The soccer player injured their legs and feet during a very intense game.,,,,
414,felines and quails,My favorite animals have been felines and quails ever since I was a kid.,My favorite animals have been quails and felines ever since I was a kid.,,,,
415,felines and quails,The zoologist took time to document the variety of felines and quails in the area.,The zoologist took time to document the variety of quails and felines in the area.,,,,
416,felines and quails,There were always felines and quails in the woods behind my house.,There were always quails and felines in the woods behind my house.,,,,
417,female and male,The dog breeder has female and male puppies coming up for sale soon.,The dog breeder has male and female puppies coming up for sale soon.,,,,
418,fiction and poetry,Maddy liked to read fiction and poetry in her spare time.,Maddy liked to read poetry and fiction in her spare time.,,,,
419,field and stream,"There was a field and stream near his house, which made him very happy.","There was a stream and field near his house, which made him very happy.",,,,
420,fields and homes,"There were plenty of fields and homes in the town, which made it an ideal place for families.","There were plenty of homes and fields in the town, which made it an ideal place for families.",,,,
421,figures and words,Hannah used figures and words to explain her findings.,Hannah used words and figures to explain her findings.,,,,
422,file and rank,Olivia's task was to file and rank the data her boss provided her.,Olivia's task was to rank and file the data her boss provided her.,,,,
423,fingers and mouth,Both her fingers and mouth were dirty from eating ribs.,Both her mouth and fingers were dirty from eating ribs.,,,,
424,fingers and thumb,Demi broke her fingers and thumb when she fell while roller skating.,Demi broke her thumb and fingers when she fell while roller skating.,,,,
425,fire and light,"According to Mandy, the lack of fire and light ruined the evening's ambiance.","According to Mandy, the lack of light and fire ruined the evening's ambiance.",,,,
426,fire and police,Both the fire and police departments put on a barbeque for the community.,Both the police and fire departments put on a barbeque for the community.,,,,
427,firepower and speed,Christopher liked the firepower and speed of the car he was test driving.,Christopher liked the speed and firepower of the car he was test driving.,,,,
428,first and ninety-eighth,"He had a multitude of ideas, though all but the first and ninety-eighth were terrible.","He had a multitude of ideas, though all but the ninety-eighth and first were terrible.",,,,
429,first and ninety-eighth,"The couple got separated during their Black Friday shopping, and ended up being the first and ninety-eighth people in line.","The couple got separated during their Black Friday shopping, and ended up being the ninety-eighth and first people in line.",,,,
430,first and ninety-eighth,The finalists in the tennis championship were ranked first and ninety-eighth in the world prior to the tournament.,The finalists in the tennis championship were ranked ninety-eighth and first in the world prior to the tournament.,,,,
431,fish and vegetable,He wanted to make a fish and vegetable soup that would impress his family.,He wanted to make a vegetable and fish soup that would impress his family.,,,,
432,flame and smoke,"He noticed the flame and smoke coming from his neighbor's house, so he called the fire department.","He noticed the smoke and flame coming from his neighbor's house, so he called the fire department.",,,,
433,flames and smoke,"Down the street, you could see the flames and smoke from the house that was on fire.","Down the street, you could see the smoke and flames from the house that was on fire.",,,,
434,flames and sparks,Maeve stared at the flames and sparks that came from the fireplace.,Maeve stared at the sparks and flames that came from the fireplace.,,,,
435,flesh and skin,Cory explained the difference between flesh and skin to his little brother.,Cory explained the difference between skin and flesh to his little brother.,,,,
436,flight and terror,Marissa argued that the words flight and terror go together because she hates flying.,Marissa argued that the words terror and flight go together because she hates flying.,,,,
437,flowers and hearts,Craig drew flowers and hearts on the card he was making for his mom.,Craig drew hearts and flowers on the card he was making for his mom.,,,,
438,flowers and herbs,Dan grew flowers and herbs in his own backyard.,Dan grew herbs and flowers in his own backyard.,,,,
439,flowers and plants,All of the flowers and plants in the Arboretum made it a popular spot for walks.,All of the plants and flowers in the Arboretum made it a popular spot for walks.,,,,
440,flowers and zinnias,"In the spring, Julie will plant flowers and zinnias in her new garden.","In the spring, Julie will plant zinnias and flowers in her new garden.",,,,
441,flowers and zinnias,Sarah loved looking at the flowers and zinnias in the park.,Sarah loved looking at the zinnias and flowers in the park.,,,,
442,flowers and zinnias,"While walking my dog, I admired the flowers and zinnias lining the gardens in the neighborhood.","While walking my dog, I admired the zinnias and flowers lining the gardens in the neighborhood.",,,,
443,fog and mist,All of the fog and mist made Terry want to stay inside the house all day.,All of the mist and fog made Terry want to stay inside the house all day.,,,,
444,folklore and legend,Mandy read about the folklore and legend surrounding King Arthur in her new book.,Mandy read about the legend and folklore surrounding King Arthur in her new book.,,,,
445,food and shelter,The stray dog searched for food and shelter while running through the streets.,The stray dog searched for shelter and food while running through the streets.,,,,
446,force and violence,They didn't like how he used force and violence to get his way.,They didn't like how he used violence and force to get his way.,,,,
447,foreboding and gloom,There was a sense of foreboding and gloom that made Carrie feel anxious.,There was a sense of gloom and foreboding that made Carrie feel anxious.,,,,
448,forefinger and thumb,The ability to use the forefinger and thumb are very important evolutionary traits that differentiate humans from apes.,The ability to use the thumb and forefinger are very important evolutionary traits that differentiate humans from apes.,,,,
449,fork and knife,Many children find eating with a fork and knife to be a difficult skill to learn.,Many children find eating with a knife and fork to be a difficult skill to learn.,,,,
450,fork and knife,Not all cultures use a fork and knife as their main utensils.,Not all cultures use a knife and fork as their main utensils.,,,,
451,fork and knife,The man was embarassed to learn that he had been holding his fork and knife wrong for years.,The man was embarassed to learn that he had been holding his knife and fork wrong for years.,,,,
452,fork and spoon,Tara needed both a fork and spoon to properly eat her meal.,Tara needed both a spoon and fork to properly eat her meal.,,,,
453,forms and materials,Lee didn't have the necessary forms and materials to move forward with the task.,Lee didn't have the necessary materials and forms to move forward with the task.,,,,
454,fragrance and taste,"She wanted to like the smoothie, but the fragrance and taste made her feel sick.","She wanted to like the smoothie, but the taste and fragrance made her feel sick.",,,,
455,freedom and security,Mary searched for freedom and security in her next job opportunity.,Mary searched for security and freedom in her next job opportunity.,,,,
456,friends and partners,Josh and Jack had been friends and partners for almost ten years.,Josh and Jack had been partners and friends for almost ten years.,,,,
457,friends and relations,Ciara had many friends and relations so she was rarely lonely.,Ciara had many relations and friends so she was rarely lonely.,,,,
